code	notes	emoji	description	ASCII	tagged_desc	url
1F471 200D 2640 FE0F	fully-qualified     # 👱‍♀️ E4.0 woman: blond hair	👱‍♀️	woman: blond hair	<f0><9f><91><b1><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman:_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-blond-hair_1f471-200d-2640-fe0f.png
1F471 200D 2640	minimally-qualified # 👱‍♀ E4.0 woman: blond hair	👱‍♀	woman: blond hair	<f0><9f><91><b1><e2><80><8d><e2><99><80>	jaugur_woman:_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-blond-hair_1f471-200d-2640-fe0f.png
1F471 1F3FB 200D 2640 FE0F	fully-qualified     # 👱🏻‍♀️ E4.0 woman: light skin tone, blond hair	👱🏻‍♀️	woman: light skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bb><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman:_light_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-light-skin-tone-blond-hair_1f471-1f3fb-200d-2640-fe0f.png
1F471 1F3FB 200D 2640	minimally-qualified # 👱🏻‍♀ E4.0 woman: light skin tone, blond hair	👱🏻‍♀	woman: light skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bb><e2><80><8d><e2><99><80>	jaugur_woman:_light_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-light-skin-tone-blond-hair_1f471-1f3fb-200d-2640-fe0f.png
1F471 1F3FC 200D 2640 FE0F	fully-qualified     # 👱🏼‍♀️ E4.0 woman: medium-light skin tone, blond hair	👱🏼‍♀️	woman: medium-light skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bc><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman:_medium-light_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-medium-light-skin-tone-blond-hair_1f471-1f3fc-200d-2640-fe0f.png
1F471 1F3FC 200D 2640	minimally-qualified # 👱🏼‍♀ E4.0 woman: medium-light skin tone, blond hair	👱🏼‍♀	woman: medium-light skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bc><e2><80><8d><e2><99><80>	jaugur_woman:_medium-light_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-medium-light-skin-tone-blond-hair_1f471-1f3fc-200d-2640-fe0f.png
1F471 1F3FD 200D 2640 FE0F	fully-qualified     # 👱🏽‍♀️ E4.0 woman: medium skin tone, blond hair	👱🏽‍♀️	woman: medium skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bd><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman:_medium_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-medium-skin-tone-blond-hair_1f471-1f3fd-200d-2640-fe0f.png
1F471 1F3FD 200D 2640	minimally-qualified # 👱🏽‍♀ E4.0 woman: medium skin tone, blond hair	👱🏽‍♀	woman: medium skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bd><e2><80><8d><e2><99><80>	jaugur_woman:_medium_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-medium-skin-tone-blond-hair_1f471-1f3fd-200d-2640-fe0f.png
1F471 1F3FE 200D 2640 FE0F	fully-qualified     # 👱🏾‍♀️ E4.0 woman: medium-dark skin tone, blond hair	👱🏾‍♀️	woman: medium-dark skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><be><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman:_medium-dark_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-medium-dark-skin-tone-blond-hair_1f471-1f3fe-200d-2640-fe0f.png
1F471 1F3FE 200D 2640	minimally-qualified # 👱🏾‍♀ E4.0 woman: medium-dark skin tone, blond hair	👱🏾‍♀	woman: medium-dark skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><be><e2><80><8d><e2><99><80>	jaugur_woman:_medium-dark_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-medium-dark-skin-tone-blond-hair_1f471-1f3fe-200d-2640-fe0f.png
1F471 1F3FF 200D 2640 FE0F	fully-qualified     # 👱🏿‍♀️ E4.0 woman: dark skin tone, blond hair	👱🏿‍♀️	woman: dark skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bf><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman:_dark_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-dark-skin-tone-blond-hair_1f471-1f3ff-200d-2640-fe0f.png
1F471 1F3FF 200D 2640	minimally-qualified # 👱🏿‍♀ E4.0 woman: dark skin tone, blond hair	👱🏿‍♀	woman: dark skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bf><e2><80><8d><e2><99><80>	jaugur_woman:_dark_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-dark-skin-tone-blond-hair_1f471-1f3ff-200d-2640-fe0f.png
1F471 200D 2642 FE0F	fully-qualified     # 👱‍♂️ E4.0 man: blond hair	👱‍♂️	man: blond hair	<f0><9f><91><b1><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man:_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-blond-hair_1f471-200d-2642-fe0f.png
1F471 200D 2642	minimally-qualified # 👱‍♂ E4.0 man: blond hair	👱‍♂	man: blond hair	<f0><9f><91><b1><e2><80><8d><e2><99><82>	jaugur_man:_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-blond-hair_1f471-200d-2642-fe0f.png
1F471 1F3FB 200D 2642 FE0F	fully-qualified     # 👱🏻‍♂️ E4.0 man: light skin tone, blond hair	👱🏻‍♂️	man: light skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bb><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man:_light_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-light-skin-tone-blond-hair_1f471-1f3fb-200d-2642-fe0f.png
1F471 1F3FB 200D 2642	minimally-qualified # 👱🏻‍♂ E4.0 man: light skin tone, blond hair	👱🏻‍♂	man: light skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bb><e2><80><8d><e2><99><82>	jaugur_man:_light_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-light-skin-tone-blond-hair_1f471-1f3fb-200d-2642-fe0f.png
1F471 1F3FC 200D 2642 FE0F	fully-qualified     # 👱🏼‍♂️ E4.0 man: medium-light skin tone, blond hair	👱🏼‍♂️	man: medium-light skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bc><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man:_medium-light_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-medium-light-skin-tone-blond-hair_1f471-1f3fc-200d-2642-fe0f.png
1F471 1F3FC 200D 2642	minimally-qualified # 👱🏼‍♂ E4.0 man: medium-light skin tone, blond hair	👱🏼‍♂	man: medium-light skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bc><e2><80><8d><e2><99><82>	jaugur_man:_medium-light_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-medium-light-skin-tone-blond-hair_1f471-1f3fc-200d-2642-fe0f.png
1F471 1F3FD 200D 2642 FE0F	fully-qualified     # 👱🏽‍♂️ E4.0 man: medium skin tone, blond hair	👱🏽‍♂️	man: medium skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bd><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man:_medium_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-medium-skin-tone-blond-hair_1f471-1f3fd-200d-2642-fe0f.png
1F471 1F3FD 200D 2642	minimally-qualified # 👱🏽‍♂ E4.0 man: medium skin tone, blond hair	👱🏽‍♂	man: medium skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bd><e2><80><8d><e2><99><82>	jaugur_man:_medium_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-medium-skin-tone-blond-hair_1f471-1f3fd-200d-2642-fe0f.png
1F471 1F3FE 200D 2642 FE0F	fully-qualified     # 👱🏾‍♂️ E4.0 man: medium-dark skin tone, blond hair	👱🏾‍♂️	man: medium-dark skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><be><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man:_medium-dark_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-medium-dark-skin-tone-blond-hair_1f471-1f3fe-200d-2642-fe0f.png
1F471 1F3FE 200D 2642	minimally-qualified # 👱🏾‍♂ E4.0 man: medium-dark skin tone, blond hair	👱🏾‍♂	man: medium-dark skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><be><e2><80><8d><e2><99><82>	jaugur_man:_medium-dark_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-medium-dark-skin-tone-blond-hair_1f471-1f3fe-200d-2642-fe0f.png
1F471 1F3FF 200D 2642 FE0F	fully-qualified     # 👱🏿‍♂️ E4.0 man: dark skin tone, blond hair	👱🏿‍♂️	man: dark skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bf><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man:_dark_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-dark-skin-tone-blond-hair_1f471-1f3ff-200d-2642-fe0f.png
1F471 1F3FF 200D 2642	minimally-qualified # 👱🏿‍♂ E4.0 man: dark skin tone, blond hair	👱🏿‍♂	man: dark skin tone, blond hair	<f0><9f><91><b1><f0><9f><8f><bf><e2><80><8d><e2><99><82>	jaugur_man:_dark_skin_tone,_blond_hair 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-dark-skin-tone-blond-hair_1f471-1f3ff-200d-2642-fe0f.png
1F9D3	fully-qualified     # 🧓 E5.0 older person	🧓	older person	<f0><9f><a7><93>	jaugur_older_person 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/older-person_1f9d3.png
1F9D3 1F3FB	fully-qualified     # 🧓🏻 E5.0 older person: light skin tone	🧓🏻	older person: light skin tone	<f0><9f><a7><93><f0><9f><8f><bb>	jaugur_older_person:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/older-person_light-skin-tone_1f9d3-1f3fb_1f3fb.png
1F9D3 1F3FC	fully-qualified     # 🧓🏼 E5.0 older person: medium-light skin tone	🧓🏼	older person: medium-light skin tone	<f0><9f><a7><93><f0><9f><8f><bc>	jaugur_older_person:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/older-person_medium-light-skin-tone_1f9d3-1f3fc_1f3fc.png
1F9D3 1F3FD	fully-qualified     # 🧓🏽 E5.0 older person: medium skin tone	🧓🏽	older person: medium skin tone	<f0><9f><a7><93><f0><9f><8f><bd>	jaugur_older_person:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/older-person_medium-skin-tone_1f9d3-1f3fd_1f3fd.png
1F9D3 1F3FE	fully-qualified     # 🧓🏾 E5.0 older person: medium-dark skin tone	🧓🏾	older person: medium-dark skin tone	<f0><9f><a7><93><f0><9f><8f><be>	jaugur_older_person:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/older-person_medium-dark-skin-tone_1f9d3-1f3fe_1f3fe.png
1F9D3 1F3FF	fully-qualified     # 🧓🏿 E5.0 older person: dark skin tone	🧓🏿	older person: dark skin tone	<f0><9f><a7><93><f0><9f><8f><bf>	jaugur_older_person:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/older-person_dark-skin-tone_1f9d3-1f3ff_1f3ff.png
1F474	fully-qualified     # 👴 E0.6 old man	👴	old man	<f0><9f><91><b4>	jaugur_old_man 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-man_1f474.png
1F474 1F3FB	fully-qualified     # 👴🏻 E1.0 old man: light skin tone	👴🏻	old man: light skin tone	<f0><9f><91><b4><f0><9f><8f><bb>	jaugur_old_man:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-man_light-skin-tone_1f474-1f3fb_1f3fb.png
1F474 1F3FC	fully-qualified     # 👴🏼 E1.0 old man: medium-light skin tone	👴🏼	old man: medium-light skin tone	<f0><9f><91><b4><f0><9f><8f><bc>	jaugur_old_man:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-man_medium-light-skin-tone_1f474-1f3fc_1f3fc.png
1F474 1F3FD	fully-qualified     # 👴🏽 E1.0 old man: medium skin tone	👴🏽	old man: medium skin tone	<f0><9f><91><b4><f0><9f><8f><bd>	jaugur_old_man:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-man_medium-skin-tone_1f474-1f3fd_1f3fd.png
1F474 1F3FE	fully-qualified     # 👴🏾 E1.0 old man: medium-dark skin tone	👴🏾	old man: medium-dark skin tone	<f0><9f><91><b4><f0><9f><8f><be>	jaugur_old_man:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-man_medium-dark-skin-tone_1f474-1f3fe_1f3fe.png
1F474 1F3FF	fully-qualified     # 👴🏿 E1.0 old man: dark skin tone	👴🏿	old man: dark skin tone	<f0><9f><91><b4><f0><9f><8f><bf>	jaugur_old_man:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-man_dark-skin-tone_1f474-1f3ff_1f3ff.png
1F475	fully-qualified     # 👵 E0.6 old woman	👵	old woman	<f0><9f><91><b5>	jaugur_old_woman 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-woman_1f475.png
1F475 1F3FB	fully-qualified     # 👵🏻 E1.0 old woman: light skin tone	👵🏻	old woman: light skin tone	<f0><9f><91><b5><f0><9f><8f><bb>	jaugur_old_woman:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-woman_light-skin-tone_1f475-1f3fb_1f3fb.png
1F475 1F3FC	fully-qualified     # 👵🏼 E1.0 old woman: medium-light skin tone	👵🏼	old woman: medium-light skin tone	<f0><9f><91><b5><f0><9f><8f><bc>	jaugur_old_woman:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-woman_medium-light-skin-tone_1f475-1f3fc_1f3fc.png
1F475 1F3FD	fully-qualified     # 👵🏽 E1.0 old woman: medium skin tone	👵🏽	old woman: medium skin tone	<f0><9f><91><b5><f0><9f><8f><bd>	jaugur_old_woman:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-woman_medium-skin-tone_1f475-1f3fd_1f3fd.png
1F475 1F3FE	fully-qualified     # 👵🏾 E1.0 old woman: medium-dark skin tone	👵🏾	old woman: medium-dark skin tone	<f0><9f><91><b5><f0><9f><8f><be>	jaugur_old_woman:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-woman_medium-dark-skin-tone_1f475-1f3fe_1f3fe.png
1F475 1F3FF	fully-qualified     # 👵🏿 E1.0 old woman: dark skin tone	👵🏿	old woman: dark skin tone	<f0><9f><91><b5><f0><9f><8f><bf>	jaugur_old_woman:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/old-woman_dark-skin-tone_1f475-1f3ff_1f3ff.png
1F64D	fully-qualified     # 🙍 E0.6 person frowning	🙍	person frowning	<f0><9f><99><8d>	jaugur_person_frowning 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-frowning_1f64d.png
1F64D 1F3FB	fully-qualified     # 🙍🏻 E1.0 person frowning: light skin tone	🙍🏻	person frowning: light skin tone	<f0><9f><99><8d><f0><9f><8f><bb>	jaugur_person_frowning:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-frowning_light-skin-tone_1f64d-1f3fb_1f3fb.png
1F64D 1F3FC	fully-qualified     # 🙍🏼 E1.0 person frowning: medium-light skin tone	🙍🏼	person frowning: medium-light skin tone	<f0><9f><99><8d><f0><9f><8f><bc>	jaugur_person_frowning:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-frowning_medium-light-skin-tone_1f64d-1f3fc_1f3fc.png
1F64D 1F3FD	fully-qualified     # 🙍🏽 E1.0 person frowning: medium skin tone	🙍🏽	person frowning: medium skin tone	<f0><9f><99><8d><f0><9f><8f><bd>	jaugur_person_frowning:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-frowning_medium-skin-tone_1f64d-1f3fd_1f3fd.png
1F64D 1F3FE	fully-qualified     # 🙍🏾 E1.0 person frowning: medium-dark skin tone	🙍🏾	person frowning: medium-dark skin tone	<f0><9f><99><8d><f0><9f><8f><be>	jaugur_person_frowning:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-frowning_medium-dark-skin-tone_1f64d-1f3fe_1f3fe.png
1F64D 1F3FF	fully-qualified     # 🙍🏿 E1.0 person frowning: dark skin tone	🙍🏿	person frowning: dark skin tone	<f0><9f><99><8d><f0><9f><8f><bf>	jaugur_person_frowning:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/person-frowning_dark-skin-tone_1f64d-1f3ff_1f3ff.png
1F64D 200D 2642 FE0F	fully-qualified     # 🙍‍♂️ E4.0 man frowning	🙍‍♂️	man frowning	<f0><9f><99><8d><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_frowning 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning_1f64d-200d-2642-fe0f.png
1F64D 200D 2642	minimally-qualified # 🙍‍♂ E4.0 man frowning	🙍‍♂	man frowning	<f0><9f><99><8d><e2><80><8d><e2><99><82>	jaugur_man_frowning 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning_1f64d-200d-2642-fe0f.png
1F64D 1F3FB 200D 2642 FE0F	fully-qualified     # 🙍🏻‍♂️ E4.0 man frowning: light skin tone	🙍🏻‍♂️	man frowning: light skin tone	<f0><9f><99><8d><f0><9f><8f><bb><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_frowning:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-light-skin-tone_1f64d-1f3fb-200d-2642-fe0f.png
1F64D 1F3FB 200D 2642	minimally-qualified # 🙍🏻‍♂ E4.0 man frowning: light skin tone	🙍🏻‍♂	man frowning: light skin tone	<f0><9f><99><8d><f0><9f><8f><bb><e2><80><8d><e2><99><82>	jaugur_man_frowning:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-light-skin-tone_1f64d-1f3fb-200d-2642-fe0f.png
1F64D 1F3FC 200D 2642 FE0F	fully-qualified     # 🙍🏼‍♂️ E4.0 man frowning: medium-light skin tone	🙍🏼‍♂️	man frowning: medium-light skin tone	<f0><9f><99><8d><f0><9f><8f><bc><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_frowning:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-medium-light-skin-tone_1f64d-1f3fc-200d-2642-fe0f.png
1F64D 1F3FC 200D 2642	minimally-qualified # 🙍🏼‍♂ E4.0 man frowning: medium-light skin tone	🙍🏼‍♂	man frowning: medium-light skin tone	<f0><9f><99><8d><f0><9f><8f><bc><e2><80><8d><e2><99><82>	jaugur_man_frowning:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-medium-light-skin-tone_1f64d-1f3fc-200d-2642-fe0f.png
1F64D 1F3FD 200D 2642 FE0F	fully-qualified     # 🙍🏽‍♂️ E4.0 man frowning: medium skin tone	🙍🏽‍♂️	man frowning: medium skin tone	<f0><9f><99><8d><f0><9f><8f><bd><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_frowning:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-medium-skin-tone_1f64d-1f3fd-200d-2642-fe0f.png
1F64D 1F3FD 200D 2642	minimally-qualified # 🙍🏽‍♂ E4.0 man frowning: medium skin tone	🙍🏽‍♂	man frowning: medium skin tone	<f0><9f><99><8d><f0><9f><8f><bd><e2><80><8d><e2><99><82>	jaugur_man_frowning:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-medium-skin-tone_1f64d-1f3fd-200d-2642-fe0f.png
1F64D 1F3FE 200D 2642 FE0F	fully-qualified     # 🙍🏾‍♂️ E4.0 man frowning: medium-dark skin tone	🙍🏾‍♂️	man frowning: medium-dark skin tone	<f0><9f><99><8d><f0><9f><8f><be><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_frowning:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-medium-dark-skin-tone_1f64d-1f3fe-200d-2642-fe0f.png
1F64D 1F3FE 200D 2642	minimally-qualified # 🙍🏾‍♂ E4.0 man frowning: medium-dark skin tone	🙍🏾‍♂	man frowning: medium-dark skin tone	<f0><9f><99><8d><f0><9f><8f><be><e2><80><8d><e2><99><82>	jaugur_man_frowning:_medium-dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-medium-dark-skin-tone_1f64d-1f3fe-200d-2642-fe0f.png
1F64D 1F3FF 200D 2642 FE0F	fully-qualified     # 🙍🏿‍♂️ E4.0 man frowning: dark skin tone	🙍🏿‍♂️	man frowning: dark skin tone	<f0><9f><99><8d><f0><9f><8f><bf><e2><80><8d><e2><99><82><ef><b8><8f>	jaugur_man_frowning:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-dark-skin-tone_1f64d-1f3ff-200d-2642-fe0f.png
1F64D 1F3FF 200D 2642	minimally-qualified # 🙍🏿‍♂ E4.0 man frowning: dark skin tone	🙍🏿‍♂	man frowning: dark skin tone	<f0><9f><99><8d><f0><9f><8f><bf><e2><80><8d><e2><99><82>	jaugur_man_frowning:_dark_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/man-frowning-dark-skin-tone_1f64d-1f3ff-200d-2642-fe0f.png
1F64D 200D 2640 FE0F	fully-qualified     # 🙍‍♀️ E4.0 woman frowning	🙍‍♀️	woman frowning	<f0><9f><99><8d><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_frowning 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-frowning_1f64d-200d-2640-fe0f.png
1F64D 200D 2640	minimally-qualified # 🙍‍♀ E4.0 woman frowning	🙍‍♀	woman frowning	<f0><9f><99><8d><e2><80><8d><e2><99><80>	jaugur_woman_frowning 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-frowning_1f64d-200d-2640-fe0f.png
1F64D 1F3FB 200D 2640 FE0F	fully-qualified     # 🙍🏻‍♀️ E4.0 woman frowning: light skin tone	🙍🏻‍♀️	woman frowning: light skin tone	<f0><9f><99><8d><f0><9f><8f><bb><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_frowning:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-frowning-light-skin-tone_1f64d-1f3fb-200d-2640-fe0f.png
1F64D 1F3FB 200D 2640	minimally-qualified # 🙍🏻‍♀ E4.0 woman frowning: light skin tone	🙍🏻‍♀	woman frowning: light skin tone	<f0><9f><99><8d><f0><9f><8f><bb><e2><80><8d><e2><99><80>	jaugur_woman_frowning:_light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-frowning-light-skin-tone_1f64d-1f3fb-200d-2640-fe0f.png
1F64D 1F3FC 200D 2640 FE0F	fully-qualified     # 🙍🏼‍♀️ E4.0 woman frowning: medium-light skin tone	🙍🏼‍♀️	woman frowning: medium-light skin tone	<f0><9f><99><8d><f0><9f><8f><bc><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_frowning:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-frowning-medium-light-skin-tone_1f64d-1f3fc-200d-2640-fe0f.png
1F64D 1F3FC 200D 2640	minimally-qualified # 🙍🏼‍♀ E4.0 woman frowning: medium-light skin tone	🙍🏼‍♀	woman frowning: medium-light skin tone	<f0><9f><99><8d><f0><9f><8f><bc><e2><80><8d><e2><99><80>	jaugur_woman_frowning:_medium-light_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-frowning-medium-light-skin-tone_1f64d-1f3fc-200d-2640-fe0f.png
1F64D 1F3FD 200D 2640 FE0F	fully-qualified     # 🙍🏽‍♀️ E4.0 woman frowning: medium skin tone	🙍🏽‍♀️	woman frowning: medium skin tone	<f0><9f><99><8d><f0><9f><8f><bd><e2><80><8d><e2><99><80><ef><b8><8f>	jaugur_woman_frowning:_medium_skin_tone 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/woman-frowning-medium-skin-tone_1f64d-1f3fd-200d-2640-fe0f.png
